setup,indicator,nobj,problem,nvar,value
reimprove-fronts,hv,2,WFG7,50,114.714809676073
reimprove-fronts,hv,2,WFG8,30,112.47374327322599
reimprove-fronts,hv,2,WFG8,40,112.1424265842222
reimprove-fronts,hv,2,WFG8,50,111.85774343228
reimprove-fronts,hv,2,WFG9,30,113.55352783223779
reimprove-fronts,hv,2,WFG9,40,112.82722804504691
reimprove-fronts,hv,2,WFG9,50,112.67246938138001
reimprove-fronts,hv,3,DTLZ2,30,1330.470019777068
reimprove-fronts,hv,3,DTLZ2,40,1330.469427728642
reimprove-fronts,hv,3,DTLZ2,50,1330.468515757472
reimprove-fronts,hv,3,DTLZ4,30,1330.469200845589
reimprove-fronts,hv,3,DTLZ4,40,1330.46817645747
reimprove-fronts,hv,3,DTLZ4,50,1330.4680096309892
reimprove-fronts,hv,3,DTLZ5,30,1319.1143183536901
reimprove-fronts,hv,3,DTLZ5,40,1319.114018323458
reimprove-fronts,hv,3,DTLZ5,50,1319.113629758885
reimprove-fronts,hv,3,DTLZ6,30,1319.114342453105
reimprove-fronts,hv,3,DTLZ6,40,1319.114200359744
reimprove-fronts,hv,3,DTLZ6,50,1319.114044133037
reimprove-fronts,hv,3,DTLZ7,30,993.4717568536704
reimprove-fronts,hv,3,DTLZ7,40,993.4689189233632
reimprove-fronts,hv,3,DTLZ7,50,993.4657407052923
reimprove-fronts,hv,3,WFG1,30,1328.290868342069
reimprove-fronts,hv,3,WFG1,40,1328.04968216144
reimprove-fronts,hv,3,WFG1,50,1323.958136865471
reimprove-fronts,hv,3,WFG2,30,1327.636459662544
reimprove-fronts,hv,3,WFG2,40,1327.242730475498
reimprove-fronts,hv,3,WFG2,50,1326.237032329422
reimprove-fronts,hv,3,WFG3,30,1244.901139025827
reimprove-fronts,hv,3,WFG3,40,1244.614677358811
reimprove-fronts,hv,3,WFG3,50,1244.1953771803192
reimprove-fronts,hv,3,WFG4,30,1305.022690003216
reimprove-fronts,hv,3,WFG4,40,1304.475329881066
reimprove-fronts,hv,3,WFG4,50,1303.690709201622
reimprove-fronts,hv,3,WFG5,30,1301.429432214095
reimprove-fronts,hv,3,WFG5,40,1298.383367299103
reimprove-fronts,hv,3,WFG5,50,1292.47070127987
reimprove-fronts,hv,3,WFG6,30,1304.446357056431
reimprove-fronts,hv,3,WFG6,40,1303.299137351197
reimprove-fronts,hv,3,WFG6,50,1302.573300890363
reimprove-fronts,hv,3,WFG7,30,1305.438311984626
reimprove-fronts,hv,3,WFG7,40,1305.3750333923751
reimprove-fronts,hv,3,WFG7,50,1305.318294321912
reimprove-fronts,hv,3,WFG8,30,1292.533949760424
reimprove-fronts,hv,3,WFG8,40,1290.794256908581
reimprove-fronts,hv,3,WFG8,50,1289.2185595589779
reimprove-fronts,hv,3,WFG9,30,1281.4622888568852
reimprove-fronts,hv,3,WFG9,40,1279.630012092015
reimprove-fronts,hv,3,WFG9,50,1260.043905705309
reimprove-fronts,hv,5,DTLZ2,30,1222980.820381954
reimprove-fronts,hv,5,DTLZ2,40,1222980.8199232141
reimprove-fronts,hv,5,DTLZ2,50,1222980.819292295
reimprove-fronts,hv,5,DTLZ4,30,1222980.8165783358
reimprove-fronts,hv,5,DTLZ4,40,1222980.8161674421
reimprove-fronts,hv,5,DTLZ4,50,1222980.8152427871
reimprove-fronts,hv,5,DTLZ5,30,1219706.567935438
reimprove-fronts,hv,5,DTLZ5,40,1219773.64218144
reimprove-fronts,hv,5,DTLZ5,50,1219800.453928085
reimprove-fronts,hv,5,DTLZ6,30,1219808.72410336
reimprove-fronts,hv,5,DTLZ6,40,1219809.172129052
reimprove-fronts,hv,5,DTLZ6,50,1219808.988026365
reimprove-fronts,hv,5,DTLZ7,30,966161.9790154188
reimprove-fronts,hv,5,DTLZ7,40,966095.86297951
reimprove-fronts,hv,5,DTLZ7,50,966003.5578178655
reimprove-fronts,hv,5,WFG1,30,1222976.9482034158
reimprove-fronts,hv,5,WFG1,40,1219562.699300222
reimprove-fronts,hv,5,WFG1,50,1203615.331309667
reimprove-fronts,hv,5,WFG2,30,1222905.968744687
reimprove-fronts,hv,5,WFG2,40,1222607.166748483
reimprove-fronts,hv,5,WFG2,50,1221739.215114559
reimprove-fronts,hv,5,WFG3,30,1134231.261973029
reimprove-fronts,hv,5,WFG3,40,1133963.511715787
reimprove-fronts,hv,5,WFG3,50,1133212.990867245
reimprove-fronts,hv,5,WFG4,30,1222149.065379383
reimprove-fronts,hv,5,WFG4,40,1222128.425040502
reimprove-fronts,hv,5,WFG4,50,1222071.774518815
reimprove-fronts,hv,5,WFG5,30,1205460.791984181
reimprove-fronts,hv,5,WFG5,40,1204306.507037957
reimprove-fronts,hv,5,WFG5,50,1204236.385037079
reimprove-fronts,hv,5,WFG6,30,1221566.696164402
reimprove-fronts,hv,5,WFG6,40,1219400.1879002692
reimprove-fronts,hv,5,WFG6,50,1217949.191208239
reimprove-fronts,hv,5,WFG7,30,1222134.822475453
reimprove-fronts,hv,5,WFG7,40,1222133.496768981
reimprove-fronts,hv,5,WFG7,50,1222103.588688197
reimprove-fronts,hv,5,WFG8,30,1218993.436594164
reimprove-fronts,hv,5,WFG8,40,1219496.095212632
reimprove-fronts,hv,5,WFG8,50,1218050.998830062
reimprove-fronts,hv,5,WFG9,30,1219105.88592061
reimprove-fronts,hv,5,WFG9,40,1215867.304542752
reimprove-fronts,hv,5,WFG9,50,1198306.8251371
reimprove-fronts,hv,10,DTLZ2,31,247358954105858.0
reimprove-fronts,hv,10,DTLZ2,41,247358954711778.6
reimprove-fronts,hv,10,DTLZ2,51,247358872020080.0
reimprove-fronts,hv,10,DTLZ4,31,247359415089883.8
reimprove-fronts,hv,10,DTLZ4,41,247359222474584.8
reimprove-fronts,hv,10,DTLZ4,51,247359054321362.8
reimprove-fronts,hv,10,DTLZ5,31,239728172126814.4
reimprove-fronts,hv,10,DTLZ5,41,239954059172992.3
reimprove-fronts,hv,10,DTLZ5,51,240055018408821.1
reimprove-fronts,hv,10,DTLZ6,31,247145067794992.5
reimprove-fronts,hv,10,DTLZ6,41,247145503186869.7
